symbol,timeframe,signal,confidence,price,entry_price,reasoning,timestamp,market_regime,direction,volume_trend,historical_accuracy,recommendation_performance
SOL,4h,NOTHING,65,123.59,122.3,Mixed signals with price below key EMAs but RSI neutral,1767072518.520256,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,,
SOL,4h,NOTHING,65,123.43,124.31,"Mixed signals, price consolidating below key EMAs",1767074108.106617,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,,
SOL,4h,NOTHING,65,123.61,122.8,Mixed signals with price below key EMAs but RSI neutral,1767075135.268959,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,,
SOL,4h,NOTHING,65,123.67,122.8,"Indicators neutral: RSI ~46, MACD bearish but converging, price below key EMAs",1767075909.983412,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,100.0,0.0
SOL,4h,NOTHING,65,123.7,122.8,"Indicators neutral: RSI ~46, MACD bearish but converging, price between EMAs",1767076174.704572,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,100.0,0.0
SOL,4h,NOTHING,65,123.93,122.8,"RSI neutral, MACD bearish but converging, price below key EMAs",1767076963.993761,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,100.0,0.0
SOL,4h,NOTHING,65,123.88,122.8,"Mixed signals, price between key EMAs, RSI neutral",1767077762.219738,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,100.0,0.0
SOL,4h,NOTHING,65,124.03,122.8,"Mixed signals, price between EMAs, MACD bearish but not crossed",1767078794.731404,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,100.0,0.0
SOL,4h,NOTHING,65,123.88,122.8,Mixed signals with price below key EMAs but RSI neutral,1767079563.443679,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,100.0,0.0
SOL,4h,NOTHING,65,123.88,122.8,"Indicators neutral: RSI ~47, MACD bearish but converging, price between EMAs",1767079571.872542,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,100.0,0.0
SOL,4h,BUY,70,123.84,122.6,"RSI near oversold, price below EMAs suggests potential reversal",1767079834.844291,VOLATILE_BREAKOUT,BULLISH,Decreasing,100.0,0.0
SOL,4h,BUY,70,124.04,122.6,"RSI near oversold, MACD approaching bullish crossover",1767081421.285947,VOLATILE_BREAKOUT,BULLISH,Decreasing,100.0,0.0
SOL,4h,BUY,75,124.94,124.0,"Price above key EMAs, MACD rising, bullish momentum",1767082455.196255,VOLATILE_BREAKOUT,BULLISH,Decreasing,100.0,0.0134582256675286
SOL,4h,BUY,75,124.59,123.8,Price above key EMAs with bullish momentum,1767083223.620524,VOLATILE_BREAKOUT,BULLISH,Decreasing,100.0,0.0682362387701251
SOL,4h,BUY,75,124.63,123.8,Price above key EMAs with bullish momentum,1767083233.606111,VOLATILE_BREAKOUT,BULLISH,Decreasing,92.3076923076923,0.0433526171049033
SOL,4h,BUY,75,124.68,123.8,Price above key EMAs with bullish momentum in volatile breakout,1767083491.25197,VOLATILE_BREAKOUT,BULLISH,Decreasing,92.85714285714286,0.0426027963246911
SOL,4h,BUY,75,124.77,124.2,Price above key EMAs with bullish momentum,1767084339.018806,VOLATILE_BREAKOUT,BULLISH,Decreasing,93.33333333333331,0.0424475435234272
SOL,4h,BUY,75,124.74,124.2,"Price above key EMAs, MACD rising, RSI neutral-bullish",1767085079.725425,VOLATILE_BREAKOUT,BULLISH,Decreasing,93.75,0.0441967934967698
SOL,4h,BUY,75,124.73,124.2,Price above key EMAs with bullish momentum in volatile breakout,1767086115.991363,VOLATILE_BREAKOUT,BULLISH,Decreasing,88.23529411764706,0.0404056248911611
SOL,4h,BUY,75,124.46,123.8,Price above key EMAs in volatile breakout regime,1767086886.341875,VOLATILE_BREAKOUT,BULLISH,Decreasing,83.33333333333334,0.0378570828082931
SOL,4h,BUY,75,124.46,123.8,RSI neutral but price above key EMAs in volatile breakout,1767086896.054197,VOLATILE_BREAKOUT,BULLISH,Decreasing,78.94736842105263,0.0251408501703231
SOL,4h,BUY,75,124.51,123.8,Price above key EMAs with bullish MACD convergence,1767087132.009927,VOLATILE_BREAKOUT,BULLISH,Decreasing,75.0,0.0239436668288792
SOL,4h,BUY,75,124.57,123.8,Price above key EMAs with bullish momentum,1767087985.391658,VOLATILE_BREAKOUT,BULLISH,Decreasing,76.19047619047619,0.0246813887791514
SOL,4h,BUY,75,124.86,124.2,Price above key EMAs in volatile breakout regime,1767088727.864931,VOLATILE_BREAKOUT,BULLISH,Decreasing,77.27272727272727,0.0257034545057066
SOL,4h,BUY,70,124.03,123.5,"RSI neutral but MACD rising above signal, price near EMAs",1767128666.026034,NEUTRAL,BULLISH,Decreasing,78.26086956521739,0.0343325120209671
SOL,4h,BUY,70,124.06,123.5,"MACD above signal, price near key EMAs",1767132312.693033,NEUTRAL,BULLISH,Decreasing,75.0,0.0063694309859076
SOL,4h,BUY,70,124.47,123.5,"MACD above signal line, price above key EMAs",1767133535.04909,NEUTRAL,BULLISH,Decreasing,76.0,0.0070547488912587
SOL,4h,BUY,70,124.37,123.5,"MACD above signal line, price above key EMAs",1767135953.930505,NEUTRAL,BULLISH,Decreasing,76.92307692307693,0.019033656305398
SOL,4h,BUY,75,124.85,124.25,"MACD bullish, price above key EMAs",1767139614.250931,NEUTRAL,BULLISH,Decreasing,74.07407407407408,0.0154845741397779
SOL,4h,BUY,75,124.98,124.25,"MACD bullish, price above key EMAs, RSI neutral-bullish",1767143270.275469,NEUTRAL,BULLISH,Decreasing,75.0,0.0282590772254637
SOL,4h,BUY,75,125.37,124.25,"MACD bullish, price above key EMAs",1767146934.997503,NEUTRAL,BULLISH,Decreasing,75.86206896551724,0.0307879396492797
SOL,4h,BUY,75,125.59,124.4,"MACD bullish, price above key EMAs",1767149366.740653,NEUTRAL,BULLISH,Decreasing,76.66666666666667,0.0398609070150603
SOL,4h,BUY,75,125.95,124.5,MACD bullish and price above key EMAs,1767150028.640825,NEUTRAL,BULLISH,Decreasing,77.41935483870968,0.0440990217174214
SOL,4h,BUY,75,125.45,124.5,"MACD bullish, price above key EMAs",1767151399.196291,NEUTRAL,BULLISH,Decreasing,78.125,0.0514489612422606
SOL,4h,BUY,75,125.54,124.5,MACD bullish and price above key EMAs,1767154633.538924,NEUTRAL,BULLISH,Decreasing,75.75757575757575,0.0382597879782522
SOL,4h,BUY,75,125.45,124.5,"MACD bullish, price above key EMAs",1767157077.156725,NEUTRAL,BULLISH,Decreasing,76.47058823529412,0.0392164148866685
SOL,4h,BUY,75,125.61,124.5,"MACD bullish, price above key EMAs",1767157674.967423,NEUTRAL,BULLISH,Decreasing,74.28571428571429,0.0361356728644549
SOL,4h,BUY,75,125.6,124.5,"MACD bullish, price above key EMAs",1767160952.868836,NEUTRAL,BULLISH,Decreasing,75.0,0.03860608313648197
